Operation;Number of Rows;Migration Duration;Requests Before Migration;Duration Average Before Migration;Requests During Migration;Duration Average During Migration;Requests After Migration;Duration Average After Migration
A18;10000;0.214514;21;5.528809523809524;1;2.655;19;5.709736842105262
A2;10000;0.608527;21;5.148809523809524;2;9.9575;19;5.541052631578949
A12;10000;0.186923;21;4.915333333333333;1;1.32;19;5.266684210526316
A21;10000;0.633162;21;5.258380952380952;2;1.8655;19;5.505263157894738
A1;10000;0.172625;21;5.4744761904761905;1;1.619;19;5.713473684210526
A6;10000;0.622944;21;5.409000000000001;2;1.7189999999999999;19;5.844736842105265
A8;10000;0.613122;21;5.25052380952381;2;1.7369999999999999;19;5.553947368421052
A13;10000;0.655889;21;5.442857142857141;2;2.5149999999999997;19;5.73263157894737
A20;10000;0.606842;21;5.3881428571428565;2;2.122;19;5.594894736842106
A7;10000;0.628311;21;5.494285714285715;2;3.7565;19;5.704578947368421
A4;10000;0.623063;21;5.5007142857142854;2;1.9539999999999997;19;5.682473684210526
A24;10000;0.644448;21;5.724285714285715;2;3.8735;19;5.570684210526316
A16;10000;0.640764;21;5.06404761904762;2;2.4570000000000003;19;5.3387368421052654
A5;10000;0.173156;21;5.654333333333334;1;1.6700000000000002;19;5.793368421052631
A18;100000;0.573071;21;5.359095238095236;1;2.6359999999999997;20;5.818150000000001
A2;100000;0.829129;21;5.2719523809523805;2;99.34;19;5.62142105263158
A12;100000;0.234112;21;5.260285714285714;1;5.039;19;5.24878947368421
A21;100000;0.661446;21;5.185714285714286;2;1.4180000000000001;19;5.383947368421054
A1;100000;0.189227;21;5.499761904761905;1;1.623;19;5.709947368421052
A6;100000;0.647525;21;5.417999999999999;2;2.5695;19;5.2814736842105265
A8;100000;0.616365;21;5.4427619047619045;2;1.5539999999999998;19;5.5244210526315785
A13;100000;0.64175;21;5.63752380952381;2;1.7275;19;5.62978947368421
A20;100000;0.609749;21;5.351333333333334;2;3.586;19;5.846421052631579
A7;100000;0.629286;21;5.333380952380953;2;1.774;19;5.944368421052633
A4;100000;0.640335;21;5.587904761904761;2;1.6295000000000002;19;5.619526315789474
A24;100000;0.61328;21;5.292761904761905;2;1.7305000000000001;19;5.540684210526315
A16;100000;0.632313;21;5.07147619047619;2;14.1075;19;5.3835263157894735
A5;100000;0.185927;21;5.157904761904762;1;1.631;19;5.395315789473684
A18;1000000;4.972807;21;5.508857142857143;10;3.4383000000000004;19;5.921684210526317
A2;1000000;2.018763;21;5.379047619047618;2;682.363;19;6.086578947368421
A12;1000000;0.650179;21;5.2236666666666665;2;2.9555000000000002;19;5.252473684210526
A21;1000000;0.594029;21;5.22047619047619;2;1.4965000000000002;19;5.436578947368422
A1;1000000;0.210455;21;5.434904761904762;1;1.8359999999999999;19;5.800684210526316
A6;1000000;0.680753;21;5.680952380952381;2;2.1135;19;5.834789473684212
A8;1000000;0.605255;21;5.171047619047619;2;1.774;19;5.66078947368421
A13;1000000;0.605732;21;5.29004761904762;2;1.8610000000000002;19;5.800947368421053
A20;1000000;0.600022;21;5.1734285714285715;2;2.059;19;5.636736842105263
A7;1000000;0.617479;21;5.541476190476191;2;1.69;19;5.495421052631579
A4;1000000;0.627158;21;5.167809523809522;2;3.45;19;5.9344210526315795
A24;1000000;0.643482;21;5.512380952380952;2;2.028;19;5.425736842105263
A16;1000000;0.901986;21;5.3056190476190475;2;122.719;19;5.44557894736842
A5;1000000;0.202375;21;5.467142857142856;1;1.8439999999999999;19;5.815789473684211
