Operation;Number of Rows;Migration Duration;Requests Before Migration;Duration Average Before Migration;Requests During Migration;Duration Average During Migration;Requests After Migration;Duration Average After Migration
A1;100000;0.175289;22;4.738818181818182;0;0;20;1.9693
A2;100000;0.668014;22;1.7568181818181818;1;382.253;19;1.6967894736842108
A2n;100000;208.615293;22;2.623772727272728;414;2.3943236714975833;20;2.6212500000000003
A4;100000;0.161885;21;29.278238095238088;0;0;20;1.6263
A5;100000;0.155574;20;44.68035;1;44.786;18;34.07366666666667
A6;100000;0.110631;22;1.6750454545454545;0;0;20;1.6236499999999996
A7;100000;0.173349;22;3.004954545454545;0;0;20;2.1365000000000003
A8;100000;0.108746;22;2.5959545454545454;0;0;20;1.6050999999999997
A10;100000;0.734805;21;37.623095238095246;1;298.691;18;35.73305555555555
A10n;100000;0.745036;21;35.81995238095238;1;66.743;19;39.8671052631579
A12;100000;0.17135;22;1.6250454545454547;0;0;20;4.2707500000000005
A12n;100000;0.232492;22;2.4527272727272735;0;0;20;2.4316999999999998
A13;100000;0.129162;22;1.794272727272727;0;0;20;1.6721499999999998
A16;100000;0.466248;22;1.8599090909090912;1;196.545;19;1.7517894736842108
A16n;100000;0.326189;22;2.3059545454545454;1;2.29;20;2.1163999999999996
A18;100000;0.541973;22;1.8179545454545454;1;309.226;19;1.546263157894737
A18n;100000;0.725224;22;2.284090909090909;1;2.383;20;3.5725000000000002
A20;100000;0.126244;22;2.2174090909090904;0;0;20;1.7138499999999997
A21;100000;0.113586;22;1.6260000000000003;0;0;20;1.6749999999999996
A24;100000;0.106709;22;1.6864545454545457;0;0;20;2.9970499999999993
A1;1000000;1.165876;22;2.2830000000000004;1;967.328;19;2.1032631578947365
A2;1000000;12.854669;22;2.470818181818182;1;12605.921;20;1.8804500000000002
A2n;1000000;2424.80033;22;3.5060909090909096;4810;3.1288474012473952;19;3.1298947368421053
A4;1000000;3.886034;3;3137.6316666666667;2;1530.798;20;2.30325
A5;1000000;1.820152;4;2752.6887500000003;0;0;3;2129.2106666666664
A6;1000000;0.138307;22;4.279000000000002;0;0;20;1.8702999999999999
A7;1000000;0.109013;22;2.3933181818181826;0;0;20;2.03245
A8;1000000;0.131505;22;2.5025454545454546;0;0;20;2.94975
A10;1000000;11.787703;3;3550.8193333333334;1;12290.98;7;573.3545714285714
A10n;1000000;18.72924;3;3749.281333333334;5;3202.1254;6;956.3131666666665
A12;1000000;5.504415;22;3.4293636363636364;1;5247.007;19;1.9587894736842104
A12n;1000000;6.18416;22;3.313545454545455;10;82.43180000000001;20;2.7179999999999995
A13;1000000;0.117225;22;2.6989545454545456;0;0;20;1.7927999999999997
A16;1000000;4.538944;22;2.5408636363636363;1;4307.096;19;1.9493684210526314
A16n;1000000;6.12153;21;6.0727142857142855;11;64.80745454545455;20;2.8334
A18;1000000;12.429532;22;2.6551818181818185;1;12122.289;19;2.0276842105263158
A18n;1000000;14.204188;22;3.3329090909090913;28;2.5700000000000003;20;3.0309999999999997
A20;1000000;1.156655;22;2.598272727272727;1;932.334;19;1.8068947368421053
A21;1000000;0.130881;22;3.0849090909090906;0;0;20;1.8104
A24;1000000;1.149634;22;3.1731818181818174;1;922.667;19;1.8267368421052634
A1;10000000;0.126344;21;4.277761904761905;0;0;20;3.0976000000000004
A2;10000000;179.87912;22;3.5117272727272737;1;179459.302;19;11.836736842105267
A2n;10000000;24239.730496;22;3.7592272727272724;47766;6.213188606958875;20;4.4765999999999995
A4;10000000;24.910031;1;35591.952999999994;0;0;20;2.3754500000000003
A5;10000000;35.151173;1;45885.022;0;0;0;0
A6;10000000;29.53784;1;40347.433000000005;0;0;0;0
A7;10000000;0.092693;22;3.3558636363636363;0;0;20;3.4198
A8;10000000;0.086958;22;4.082454545454545;0;0;20;2.6706999999999996
A10;10000000;116.507359;1;35609.955;0;0;0;0
A10n;10000000;369.80462;1;64619.815;7;39056.14428571429;0;0
A12;10000000;32.891877;22;2.4656818181818183;1;32650.746;19;6.356947368421054
A12n;10000000;60.933096;22;4.062181818181819;118;13.648474576271191;20;3.0934
A13;10000000;0.127231;21;26.55928571428571;0;0;19;18.50505263157895
A16;10000000;50.291115;21;9.166619047619049;2;24861.9745;19;6.390473684210526
A16n;10000000;50.813391;22;4.0302727272727275;98;17.12580612244897;20;3.6426000000000007
A18;10000000;119.516261;22;3.1662727272727267;1;119117.67899999999;19;2.7678421052631585
A18n;10000000;157.403;22;3.213545454545455;312;3.2638461538461545;20;3.1523499999999998
A20;10000000;0.162683;22;4.498954545454546;0;0;20;3.7807000000000004
A21;10000000;1.150807;22;3.558181818181818;1;776.023;19;2.843473684210526
A24;10000000;0.151383;21;9.586857142857143;1;3.5300000000000002;19;3.7571052631578956
