Operation;Number of Rows;Migration Duration;Requests Before Migration;Duration Average Before Migration;Requests During Migration;Duration Average During Migration;Requests After Migration;Duration Average After Migration
A1;100000;0.191798;22;2.6234090909090906;0;0;20;2.5136499999999997
A2;100000;0.992487;22;2.612454545454545;1;639.433;20;2.69455
A2n;100000;212.879371;22;2.448363636363636;423;2.4257801418439713;20;2.3878500000000003
A4;100000;0.217151;22;2.4443181818181823;0;0;20;3.2255500000000006
A5;100000;0.183496;22;2.5420909090909087;0;0;20;2.36405
A6;100000;0.168176;22;2.4972272727272724;0;0;20;2.5054499999999997
A7;100000;0.194841;22;2.5539090909090905;0;0;20;2.3742000000000005
A8;100000;0.17744;22;2.5880454545454543;0;0;20;2.5249500000000005
A10;100000;0.684545;22;2.838454545454545;1;436.264;19;2.970578947368421
A10n;100000;1.665767;22;2.541954545454546;3;2.46;20;2.5799499999999997
A12;100000;0.342915;22;2.702863636363636;1;65.183;19;2.5522105263157893
A12n;100000;0.284227;22;2.3769545454545455;1;2.565;19;2.591684210526316
A13;100000;0.196159;22;2.489818181818182;0;0;20;2.6443000000000003
A16;100000;0.246799;22;3.4426818181818195;0;0;20;2.5644
A16n;100000;0.288128;22;2.546136363636364;1;13.783;19;3.566052631578947
A18;100000;0.657195;22;2.619272727272728;1;369.322;19;2.7037368421052634
A18n;100000;0.656477;22;3.1643181818181816;1;2.176;20;3.3789000000000002
A20;100000;0.174588;22;2.7226818181818184;0;0;20;2.5938500000000007
A21;100000;0.189509;22;2.632045454545454;0;0;20;2.61155
A24;100000;0.188427;22;2.329045454545454;0;0;20;2.51865
A1;1000000;0.231501;22;3.1506363636363632;0;0;20;2.4525999999999994
A2;1000000;15.086891;22;3.0407272727272723;1;14653.64;20;2.4911000000000003
A2n;1000000;2149.138077;22;3.2151818181818186;4267;2.569516522146706;20;2.2767999999999997
A4;1000000;1.392543;22;2.5683636363636366;2;2.776;20;2.53765
A5;1000000;1.226914;22;3.567681818181818;2;2.1365;20;2.6013
A6;1000000;0.198725;22;3.2273181818181813;0;0;20;2.47035
A7;1000000;0.177886;22;3.1735454545454544;0;0;20;2.60135
A8;1000000;0.194251;22;3.366454545454546;0;0;20;2.39675
A10;1000000;14.110263;22;3.0623636363636364;1;13750.105;19;2.5571578947368425
A10n;1000000;18.383016;22;3.115954545454545;30;115.49163333333333;19;2.543684210526316
A12;1000000;5.779935;22;3.3906363636363626;1;5366.602000000001;19;2.6680526315789472
A12n;1000000;5.759372;22;3.164954545454546;11;2.5149090909090908;20;2.4083499999999995
A13;1000000;0.207262;22;2.9631363636363632;0;0;20;2.2100999999999997
A16;1000000;5.375316;22;3.842954545454546;1;5020.4529999999995;19;2.55021052631579
A16n;1000000;5.338747;22;3.039545454545454;11;4.529999999999999;19;2.447842105263158
A18;1000000;10.450791;22;3.3545000000000003;1;9921.574;19;2.596947368421052
A18n;1000000;14.588536;22;3.1214090909090912;29;3.013965517241379;20;2.7079499999999994
A20;1000000;0.215987;22;2.9676818181818168;0;0;20;2.33435
A21;1000000;0.200962;22;3.3539090909090916;0;0;20;2.63025
A24;1000000;0.195033;22;3.0785454545454543;0;0;20;2.4077499999999996
A1;10000000;0.249188;22;3.058954545454546;0;0;20;2.57005
A2;10000000;177.757166;22;3.2264545454545446;1;177252.34100000001;20;2.4577
A2n;10000000;21172.257933;22;3.0116818181818186;42042;2.5929974549260293;20;2.3381499999999997
A4;10000000;0.412116;22;2.8613636363636363;1;2.63;19;2.266421052631579
A5;10000000;0.201743;22;3.0227727272727267;0;0;20;2.2802999999999995
A6;10000000;1.21145;22;3.163227272727273;1;763.4649999999999;19;2.4252631578947366
A7;10000000;0.177065;22;3.267090909090908;0;0;20;2.5037
A8;10000000;1.228794;22;3.273727272727273;1;721.87;19;2.4610526315789474
A10;10000000;176.374985;22;2.9557727272727274;1;175900.065;19;2.6308421052631576
A10n;10000000;222.864751;22;2.6807272727272724;371;99.92257412398922;19;2.213368421052632
A12;10000000;67.600442;22;3.1453636363636366;1;67080.139;20;2.4866
A12n;10000000;65.563762;22;3.061772727272727;130;4.088961538461539;19;2.617315789473684
A13;10000000;0.203065;22;3.393909090909091;0;0;20;2.4673
A16;10000000;63.213766;22;3.1875909090909094;1;62698.770000000004;20;2.4959
A16n;10000000;63.657943;22;2.917363636363636;124;10.113411290322588;20;2.4650000000000003
A18;10000000;127.857683;22;3.1350000000000007;1;127370.604;19;2.5239999999999996
A18n;10000000;180.763231;22;3.0960454545454543;359;2.833629526462396;19;3.118631578947368
A20;10000000;0.204748;22;3.466954545454546;0;0;20;2.3644499999999997
A21;10000000;0.2013;22;3.0577727272727273;0;0;20;2.3965500000000004
A24;10000000;0.26379;22;3.0161363636363636;0;0;20;2.3381000000000003
