Operation;Number of Rows;Migration Duration;Requests Before Migration;Duration Average Before Migration;Requests During Migration;Duration Average During Migration;Requests After Migration;Duration Average After Migration
A18;100000;0.560013;22;1.526227272727273;1;0.959;20;1.541
A2;100000;0.34049;22;1.4282727272727274;1;129.14800000000002;19;1.4867894736842102
A12;100000;0.231839;22;1.4703181818181816;1;1.1;19;1.484315789473684
A21;100000;0.16107;22;1.619409090909091;0;0;20;1.3789
A1;100000;0.165268;22;1.4394545454545453;0;0;20;1.44135
A6;100000;0.164229;22;1.4402727272727274;0;0;20;1.433
A8;100000;0.163828;22;1.4872272727272724;0;0;20;1.4996499999999997
A13;100000;0.186085;22;1.5603636363636362;0;0;20;1.4632999999999998
A20;100000;0.154824;22;1.419590909090909;0;0;20;1.43225
A7;100000;0.176627;22;1.4615000000000002;0;0;20;1.4755999999999998
A4;100000;0.12733;22;1.5284090909090908;0;0;20;1.5010500000000002
A24;100000;0.169188;22;1.5663636363636364;0;0;20;1.4665000000000001
A16;100000;0.207974;22;1.5432727272727271;0;0;20;1.48905
A5;100000;0.148605;22;1.4105909090909092;0;0;20;1.33445
A18;1000000;5.181211;22;1.4566818181818184;10;0.9274000000000001;20;1.3678499999999998
A2;1000000;1.468154;22;1.4465909090909088;1;1228.68;19;1.3982105263157891
A12;1000000;0.543024;22;1.4547727272727273;1;1.237;20;1.5231
A21;1000000;0.166086;22;1.5451363636363638;0;0;20;1.3940499999999998
A1;1000000;0.180522;22;1.5289090909090908;0;0;20;1.6294499999999998
A6;1000000;0.163599;22;1.4425454545454546;0;0;20;1.50105
A8;1000000;0.166447;22;1.460545454545455;0;0;20;1.3638499999999998
A13;1000000;0.167272;22;1.4184545454545459;0;0;20;1.4305999999999999
A20;1000000;0.181944;22;1.5147272727272727;0;0;20;1.44545
A7;1000000;0.190808;22;1.4363181818181818;0;0;20;1.4566500000000004
A4;1000000;1.197365;22;1.442909090909091;1;964.854;19;1.4247894736842104
A24;1000000;0.154005;22;1.4725909090909093;0;0;20;1.4270500000000002
A16;1000000;0.37345;22;1.412909090909091;1;163.207;19;1.395842105263158
A5;1000000;0.169995;22;1.4406818181818186;0;0;20;1.4089
A18;10000000;72.680261;22;2.023181818181818;145;0.9998689655172414;20;1.40735
A2;10000000;20.477206;22;2.1644545454545447;1;20137.035;20;1.5834
A12;10000000;6.426519;22;2.1296818181818185;13;1.273153846153846;20;1.4344999999999999
A21;10000000;0.184543;22;2.337954545454546;0;0;20;1.3426999999999998
A1;10000000;0.25148;22;2.0335909090909094;1;1.2730000000000001;19;1.329157894736842
A6;10000000;0.188967;22;2.3882727272727275;0;0;20;1.3011999999999997
A8;10000000;0.179464;22;2.0945909090909094;0;0;20;1.43035
A13;10000000;0.196132;22;2.0818636363636367;1;1.435;19;1.2944210526315791
A20;10000000;1.143838;22;2.253181818181818;1;874.204;19;1.4886315789473685
A7;10000000;1.210538;22;2.1778636363636363;1;941.09;19;1.445315789473684
A4;10000000;0.249957;22;1.9725909090909086;1;1.3470000000000002;19;1.3178421052631581
A24;10000000;0.157244;22;2.036409090909091;0;0;20;1.4457999999999998
A16;10000000;5.059084;22;2.2556818181818183;1;4806.332;19;1.608526315789474
A5;10000000;0.160482;22;2.0576818181818184;0;0;20;1.3864000000000003
